Entry,Name,Total points,Gameweek Points,Gameweek Hits,Rank,Last Rank,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Captain,V Captain,Bank amount,Team Value,Gameweek Transfers
3214630,Reever's Maine Men,275,79,0,81,5793,260,357,247,115,267,253,433,225,417,280,43,490,288,150,39,280,260,0.0,100.9,0
2472582,Allez!,275,59,0,83,134,260,115,267,246,251,393,253,433,43,417,280,136,145,126,52,280,253,1.0,100.6,0
2573982,John Puteh,275,68,0,83,750,400,267,247,357,253,251,370,393,45,151,280,445,145,167,95,280,253,0.2,100.9,1
2807749,Snowballers,275,72,0,83,1654,260,247,267,356,459,251,253,370,45,280,151,454,141,145,56,280,253,0.4,100.7,0
3879215,Quetshan,275,54,0,83,39,445,247,267,115,143,253,393,433,251,280,417,136,11,34,86,280,253,0.9,100.4,1
1379519,Biancoverde Utd,275,68,0,87,872,260,115,247,28,475,276,125,251,393,177,280,445,357,480,503,280,251,3.5,97.9,1
1487800,ZZ Top,275,78,0,87,4908,400,247,267,286,253,251,393,432,480,280,45,445,27,145,131,280,253,0.2,101.1,0
1884762,When Harry Met Alli,275,65,0,87,451,445,247,267,115,253,433,251,393,304,280,258,24,145,480,48,280,253,0.1,101.7,1
2684252,Fc Hasoon,275,54,0,87,45,400,267,115,247,253,393,251,433,276,151,280,445,145,427,189,280,253,0.5,101.1,1
3342742,Ultimate Loser,275,49,0,87,14,282,72,267,245,115,251,271,393,43,280,417,498,433,318,246,280,417,0.5,100.9,0
78365,its not all luck,274,61,0,92,233,400,267,221,247,392,251,13,393,280,480,257,137,265,142,340,280,251,0.4,101.0,1
1144008,Amiepj,274,71,0,92,1654,468,145,115,72,393,126,251,253,151,177,280,454,28,433,378,280,253,1.5,98.8,0
142354,Jon Snow's XI,274,59,0,94,157,260,115,247,267,142,393,253,251,280,45,151,179,131,145,56,280,253,0.4,101.0,1
1511013,Smarradona FC,274,60,0,94,198,260,245,267,115,141,435,393,253,122,251,280,190,145,189,524,280,253,0.0,101.1,0
1805414,UTD,274,72,0,94,2264,24,247,356,267,251,304,393,253,43,417,280,136,312,458,332,280,253,0.0,101.5,1
2020289,Schindler's XI,274,71,0,94,1914,400,267,286,247,251,393,276,253,45,417,280,445,433,95,145,280,267,0.1,101.8,1
2096852,Mo2minho,274,56,0,94,78,260,357,247,115,72,253,393,251,151,45,280,136,433,427,56,280,253,1.5,99.6,1
2328890,Bąbelki Apokalipsy,274,56,0,94,78,260,267,115,247,392,253,251,393,280,177,151,25,182,95,145,280,253,0.1,101.4,1
4289579,vamos!,274,50,0,94,22,260,247,357,115,18,393,251,272,302,280,257,400,437,72,335,280,251,0.0,101.4,0
215789,The IMMORTAL,274,54,0,101,52,260,247,27,267,393,251,253,40,433,280,417,190,151,48,145,280,253,0.4,101.4,1
235395,Kylie Minogue,274,65,0,101,484,260,286,267,246,312,253,251,393,125,45,280,47,480,56,145,280,253,0.5,101.1,0
278612,WZÓR Banda Sosnowiec,274,43,4,101,5,400,72,267,247,115,233,125,393,251,23,280,468,437,40,145,280,267,1.1,100.5,2
412017,Wenger In,274,67,0,101,750,400,247,357,267,253,393,251,370,151,280,45,445,145,167,95,280,253,0.3,101.1,0
531317,Groß Misconduct,274,69,0,101,1135,454,286,357,267,393,253,251,459,280,257,151,47,95,56,145,280,253,1.0,100.5,0
1840703,Manuk Phoenix,274,72,0,101,2264,260,72,247,115,31,253,251,433,459,43,280,454,18,94,513,253,247,0.4,101.0,1
1934894,Khaled Mawenya FC,274,76,0,101,4231,260,247,4,267,253,393,433,251,417,480,280,400,456,28,427,280,253,0.0,101.6,0
2827628,Mal woe FC,274,93,0,101,43214,260,115,220,242,227,253,124,393,417,280,480,400,142,129,357,280,253,0.0,100.7,0
2887772,OscarQuavoSkrrrt,274,63,0,101,331,282,357,115,267,145,459,393,370,251,280,257,136,295,189,140,280,295,0.2,101.2,0
2962564,Heineken United,274,58,0,101,52,260,115,355,267,247,253,393,433,364,280,417,400,126,145,189,280,253,0.3,101.1,1
3051133,Klop M'baku,274,78,0,101,5793,400,356,267,247,251,370,253,393,480,417,280,445,167,145,95,280,253,0.8,100.7,0
3231179,The FortKnights,274,87,0,101,20601,351,357,246,286,253,251,276,124,480,280,43,155,145,52,16,280,276,3.0,97.8,0
3462040,Pandora  F.C.,274,93,0,101,43214,490,115,357,247,72,370,251,393,272,257,280,154,432,330,480,251,490,1.3,99.8,0
3484792,الشنانه,274,66,0,101,596,468,267,357,115,164,251,18,459,275,257,280,136,156,209,52,280,251,0.3,101.0,0
3486760,Team trøkk,274,63,0,101,370,468,267,245,330,233,432,393,223,253,280,437,445,145,480,4,280,223,2.7,98.3,1
3313720,kupur barus,274,68,0,116,410,260,247,286,267,253,251,432,393,480,280,151,136,427,56,138,280,253,0.2,101.2,0
577231,TheConkeyDong,273,62,0,117,331,213,359,357,267,115,251,459,253,126,257,151,47,72,433,305,251,253,0.0,100.9,0
1076,Ji-Sung Park the Bus,273,57,0,118,122,260,247,286,267,393,253,251,433,280,151,417,155,145,56,335,280,253,0.3,101.0,1
102648,oohareya,273,57,0,118,122,260,247,115,267,433,125,253,393,251,280,348,454,142,189,145,253,280,0.0,101.8,0
685092,Citizen Kane,273,52,0,118,45,260,247,357,267,251,253,18,393,458,151,280,400,145,138,189,280,253,0.0,101.3,2
