ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
73,Kevin,Long,Burnley,Defender,0,0.0,0,0,0,0,0,0,0.6,a
74,Charlie,Taylor,Burnley,Defender,3,1.0,0,0,18,0,90,0,0.2,a
75,Phil,Bardsley,Burnley,Defender,0,0.0,0,0,0,0,0,0,0.2,a
76,Johann Berg,Gudmundsson,Burnley,Midfielder,9,3.0,0,1,30,1,194,0,1.5,d
77,Steven,Defour,Burnley,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
78,Jeff,Hendrick,Burnley,Midfielder,12,4.0,1,0,35,1,234,0,0.2,a
79,Robbie,Brady,Burnley,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
80,Ashley,Westwood,Burnley,Midfielder,7,2.3,0,0,40,1,270,0,1.7,a
81,Jonathan,Walters,Burnley,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
82,Jack,Cork,Burnley,Midfielder,6,2.0,0,0,31,1,270,0,0.8,a
83,Aaron,Lennon,Burnley,Midfielder,7,2.3,0,0,14,1,270,0,0.4,a
84,Sam,Vokes,Burnley,Forward,3,1.0,0,0,6,0,61,0,0.8,a
85,Ashley,Barnes,Burnley,Forward,3,1.0,0,0,7,0,63,0,0.6,a
86,Nahki,Wells,Burnley,Forward,0,0.0,0,0,0,0,0,0,1.9,n
87,Chris,Wood,Burnley,Forward,6,2.0,0,0,8,1,201,0,0.5,a
485,Anders,Lindegaard,Burnley,Goalkeeper,0,0.0,0,0,0,0,0,0,0.1,a
490,Joe,Hart,Burnley,Goalkeeper,11,3.7,0,0,67,1,270,0,5.9,a
491,Ben,Gibson,Burnley,Defender,0,0.0,0,0,0,0,0,0,0.2,a
495,Matej,Vydra,Burnley,Forward,0,0.0,0,0,0,0,0,0,0.1,a
33,Harry,Arter,Cardiff,Midfielder,4,2.0,0,0,19,2,180,0,0.3,a
88,Neil,Etheridge,Cardiff,Goalkeeper,28,9.3,0,0,99,2,270,0,5.4,a
89,Alex,Smithies,Cardiff,Goalkeeper,0,0.0,0,0,0,0,0,0,0.1,a
90,Sean,Morrison,Cardiff,Defender,13,4.3,0,0,51,2,270,0,0.5,a
91,Sol,Bamba,Cardiff,Defender,15,5.0,0,0,56,2,270,0,1.0,a
92,Bruno,Ecuele Manga,Cardiff,Defender,13,4.3,0,0,52,2,270,0,0.1,a
93,Matthew,Connolly,Cardiff,Defender,0,0.0,0,0,0,0,0,0,1.2,a
94,Joe,Bennett,Cardiff,Defender,15,5.0,0,0,65,2,270,0,0.6,a
95,Lee,Peltier,Cardiff,Defender,0,0.0,0,0,6,0,90,0,3.2,a
96,Ashley Darel Jazz,Richards,Cardiff,Defender,0,0.0,0,0,0,0,0,0,0.8,a
97,Greg,Halford,Cardiff,Defender,0,0.0,0,0,0,0,0,0,0.0,u
98,Joe,Ralls,Cardiff,Midfielder,8,2.7,0,0,50,2,270,0,0.3,a
99,David Junior,Hoilett,Cardiff,Midfielder,5,2.5,0,0,17,1,172,0,0.2,d
100,Nathaniel,Mendez-Laing,Cardiff,Midfielder,4,1.3,0,0,11,0,83,0,0.1,d
101,Callum,Paterson,Cardiff,Midfielder,6,2.0,0,0,29,1,149,0,0.1,a
102,Aron,Gunnarsson,Cardiff,Midfielder,0,0.0,0,0,0,0,0,0,0.7,i
103,Anthony,Pilkington,Cardiff,Midfielder,0,0.0,0,0,0,0,0,0,0.2,a
104,Loïc,Damour,Cardiff,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
105,Danny,Ward,Cardiff,Midfielder,2,1.0,0,0,4,0,59,0,0.3,a
106,Josh,Murphy,Cardiff,Midfielder,7,2.3,0,0,20,2,194,0,0.2,a
107,Kenneth,Zohore,Cardiff,Forward,3,1.5,0,0,-3,1,148,0,0.6,a
108,Omar,Bogle,Cardiff,Forward,0,0.0,0,0,0,0,0,0,0.2,u
109,Gary,Madine,Cardiff,Forward,1,1.0,0,0,5,0,2,0,1.3,a
110,Bobby,Reid,Cardiff,Forward,4,1.3,0,0,15,0,116,0,0.5,a
467,Greg,Cunninghamm,Cardiff,Defender,0,0.0,0,0,0,0,0,0,0.1,a
504,Víctor,Camarasa,Cardiff,Midfielder,5,2.5,0,0,11,2,149,0,0.1,a
111,Thibaut,Courtois,Chelsea,Goalkeeper,0,0.0,0,0,0,0,0,0,0.7,u
112,Willy,Caballero,Chelsea,Goalkeeper,0,0.0,0,0,0,0,0,0,0.1,a
113,César,Azpilicueta,Chelsea,Defender,12,4.0,0,1,71,1,270,0,13.2,a
114,Gary,Cahill,Chelsea,Defender,0,0.0,0,0,0,0,0,0,0.9,a
115,Marcos,Alonso,Chelsea,Defender,35,11.7,1,4,110,1,270,0,32.5,a
116,David,Luiz Moreira Marinho,Chelsea,Defender,8,2.7,0,0,55,1,270,0,3.9,a
117,Victor,Moses,Chelsea,Defender,1,1.0,0,0,2,0,9,0,2.5,a
118,Antonio,Rüdiger,Chelsea,Defender,12,4.0,0,0,62,1,270,0,2.9,a
119,Andreas,Christensen,Chelsea,Defender,0,0.0,0,0,0,0,0,0,0.7,a
120,Davide,Zappacosta,Chelsea,Defender,0,0.0,0,0,0,0,0,0,0.2,a
121,Emerson,Palmieri dos Santos,Chelsea,Defender,0,0.0,0,0,0,0,0,0,0.1,a
122,Eden,Hazard,Chelsea,Midfielder,16,5.3,1,2,59,0,133,0,14.2,a
123,Cesc,Fàbregas,Chelsea,Midfielder,0,0.0,0,0,0,0,0,0,0.5,i
124,Willian,Borges Da Silva,Chelsea,Midfielder,9,3.0,0,1,34,1,156,0,7.2,a
125,Pedro,Rodríguez Ledesma,Chelsea,Midfielder,20,6.7,2,0,74,2,238,0,10.4,a
126,N'Golo,Kanté,Chelsea,Midfielder,12,4.0,1,0,61,1,270,0,23.0,a
127,Ross,Barkley,Chelsea,Midfielder,5,1.7,0,0,23,1,137,0,0.5,a
128,Daniel,Drinkwater,Chelsea,Midfielder,0,0.0,0,0,0,0,0,0,0.2,a
129,Tiemoué,Bakayoko,Chelsea,Midfielder,0,0.0,0,0,0,0,0,0,0.1,u
130,Ethan,Ampadu,Chelsea,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
131,Callum,Hudson-Odoi,Chelsea,Midfielder,0,0.0,0,0,0,0,0,0,1.7,a
132,Ruben,Loftus-Cheek,Chelsea,Midfielder,1,1.0,0,0,5,0,22,0,0.8,a
133,Olivier,Giroud,Chelsea,Forward,2,1.0,0,0,5,0,40,0,2.5,a
134,Álvaro,Morata,Chelsea,Forward,10,3.3,1,0,34,2,228,0,4.6,a
459,Jorge Luiz,Frello Filho,Chelsea,Midfielder,13,4.3,1,0,60,1,270,0,14.5,a
496,Tammy,Abraham,Chelsea,Forward,0,0.0,0,0,0,0,0,0,0.1,a
498,Kepa,Arrizabalaga,Chelsea,Goalkeeper,10,3.3,0,0,49,1,270,0,3.9,a
499,Mateo,Kovacic,Chelsea,Midfielder,3,1.5,0,0,17,1,108,0,1.0,a
135,Wayne,Hennessey,Crystal Palace,Goalkeeper,13,4.3,0,0,65,1,270,0,3.1,a
136,Julian,Speroni,Crystal Palace,Goalkeeper,0,0.0,0,0,0,0,0,0,12.6,a
137,Vicente,Guaita,Crystal Palace,Goalkeeper,0,0.0,0,0,0,0,0,0,0.2,a
138,James,Tomkins,Crystal Palace,Defender,7,3.5,0,0,49,1,180,0,6.5,d
139,Scott,Dann,Crystal Palace,Defender,0,0.0,0,0,0,0,0,0,0.0,i
140,Martin,Kelly,Crystal Palace,Defender,1,1.0,0,0,9,0,90,0,6.5,a
141,Jeffrey,Schlupp,Crystal Palace,Defender,14,4.7,1,0,40,1,246,0,4.4,a
142,Patrick,van Aanholt,Crystal Palace,Defender,12,4.0,0,1,60,1,270,0,5.6,a
143,Mamadou,Sakho,Crystal Palace,Defender,11,3.7,0,0,67,1,270,0,1.6,a
144,Jairo,Riedewald,Crystal Palace,Defender,0,0.0,0,0,0,0,0,0,0.1,a
145,Aaron,Wan-Bissaka,Crystal Palace,Defender,10,5.0,0,1,37,1,164,0,21.7,a
146,Jason,Puncheon,Crystal Palace,Midfielder,0,0.0,0,0,0,0,0,0,0.6,a
147,James,McArthur,Crystal Palace,Midfielder,7,2.3,0,0,30,1,270,0,1.3,a
148,Bakary,Sako,Crystal Palace,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
149,Andros,Townsend,Crystal Palace,Midfielder,7,2.3,0,0,30,1,255,0,1.8,a
150,Luka,Milivojevic,Crystal Palace,Midfielder,7,2.3,0,0,44,1,270,0,6.0,a
151,Wilfried,Zaha,Crystal Palace,Forward,12,4.0,2,0,43,1,270,0,32.3,a
152,Christian,Benteke,Crystal Palace,Forward,6,2.0,0,0,8,1,235,0,1.2,a
153,Alexander,Sørloth,Crystal Palace,Forward,3,1.0,0,0,9,0,32,0,0.3,a
412,Cheikhou,Kouyaté,Crystal Palace,Midfielder,1,1.0,0,0,3,0,2,0,0.4,a
441,Joel,Ward,Crystal Palace,Defender,2,1.0,0,0,6,0,101,0,0.3,a
442,Jaroslaw,Jach,Crystal Palace,Defender,0,0.0,0,0,0,0,0,0,0.1,u
443,Pape,Souaré,Crystal Palace,Defender,1,1.0,0,0,3,0,1,0,0.1,d
444,Connor,Wickham,Crystal Palace,Forward,0,0.0,0,0,0,0,0,0,0.1,d
477,Sullay,Kaikai,Crystal Palace,Midfielder,0,0.0,0,0,0,0,0,0,0.2,a
486,Max,Meyer,Crystal Palace,Midfielder,4,2.0,0,1,13,0,22,0,0.4,a
505,Jordan,Ayew,Crystal Palace,Forward,0,0.0,0,0,0,0,0,0,0.3,a
154,Jordan,Pickford,Everton,Goalkeeper,6,2.0,0,0,44,0,270,0,18.0,a
155,Maarten,Stekelenburg,Everton,Goalkeeper,0,0.0,0,0,0,0,0,0,4.3,a
156,Leighton,Baines,Everton,Defender,4,1.3,0,0,36,0,270,0,1.5,a
157,Seamus,Coleman,Everton,Defender,4,1.3,0,0,34,0,270,0,2.3,a
158,Phil,Jagielka,Everton,Defender,-3,-3.0,0,0,-5,0,39,0,0.9,s
159,Ashley,Williams,Everton,Defender,0,0.0,0,0,0,0,0,0,0.1,u
160,Mason,Holgate,Everton,Defender,3,1.0,0,0,35,0,227,0,0.2,a
161,Jonjoe,Kenny,Everton,Defender,0,0.0,0,0,0,0,0,0,0.2,a
162,Michael,Keane,Everton,Defender,17,5.7,1,1,69,0,270,0,2.2,i
163,Cuco,Martina,Everton,Defender,0,0.0,0,0,0,0,0,0,0.1,u
164,Theo,Walcott,Everton,Midfielder,22,7.3,2,1,61,0,264,0,12.5,a
165,Yannick,Bolasie,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.2,u
166,James,McCarthy,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
167,Morgan,Schneiderlin,Everton,Midfielder,6,3.0,0,1,32,0,113,0,2.2,i
168,Idrissa,Gueye,Everton,Midfielder,5,1.7,0,0,46,0,270,0,0.5,a
169,Tom,Davies,Everton,Midfielder,4,2.0,0,0,28,0,156,0,0.2,a
170,Ademola,Lookman,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
171,Davy,Klaassen,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
172,Gylfi,Sigurdsson,Everton,Midfielder,7,2.3,0,1,39,0,223,0,1.5,a
173,Nikola,Vlasic,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
174,Beni,Baningime,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
175,Dominic,Calvert-Lewin,Everton,Forward,2,1.0,0,0,5,0,21,0,0.8,a
176,Oumar,Niasse,Everton,Forward,2,1.0,0,0,3,0,13,0,0.6,a
177,Cenk,Tosun,Everton,Forward,11,3.7,0,2,31,0,237,0,5.6,a
393,Richarlison,de Andrade,Everton,Midfielder,21,7.0,3,0,66,0,210,0,25.2,s
469,Kevin,Mirallas,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
470,Sandro,Ramírez,Everton,Forward,0,0.0,0,0,0,0,0,0,0.2,a
484,Lucas,Digne,Everton,Defender,1,1.0,0,0,2,0,4,0,1.6,a
506,Yerry,Mina,Everton,Defender,0,0.0,0,0,0,0,0,0,1.0,i
507,Bernard,Anício Caldeira Duarte,Everton,Midfielder,1,1.0,0,0,3,0,5,0,0.2,a
508,André Filipe,Tavares Gomes,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.2,i
526,Kurt,Zouma,Everton,Defender,1,1.0,0,0,3,0,1,0,0.1,a
528,Kieran,Dowell,Everton,Midfielder,0,0.0,0,0,0,0,0,0,0.0,a
9,Calum,Chambers,Fulham,Defender,3,1.0,0,0,43,0,198,0,1.5,a
178,Marcus,Bettinelli,Fulham,Goalkeeper,0,0.0,0,0,8,0,90,0,0.2,a
180,Tim,Ream,Fulham,Defender,0,0.0,0,0,0,0,0,0,0.2,i
181,Denis,Odoi,Fulham,Defender,1,1.0,0,0,14,0,90,0,0.1,a
